마다, 78, 190
마바, 99, 198
다마, 58, 157
자차, 50, 192
차카, 53, 180
차파, 79, 179
다하, 40, 177
사자, 80, 157
마나, 81, 146
타가, 76, 181
가마, 73, 149
타타, 70, 145
가바, 96, 149
사바, 77, 183
다하, 95, 191
가바, 68, 144
카바, 99, 154
나바, 43, 164
타마, 56, 198
마다, 45, 143
자라, 82, 183
사라, 99, 151
카사, 66, 169
가차, 71, 186
가차, 53, 177
차자, 99, 146
다타, 87, 152
라카, 40, 155
파자, 88, 187
라다, 57, 160
사자, 71, 154
자바, 79, 158
아마, 49, 144
마하, 73, 173
사바, 83, 196
카하, 85, 166
다아, 55, 157
아다, 64, 196
마자, 98, 147
자카, 94, 177
카가, 45, 198
하아, 96, 150
아아, 55, 155
카타, 89, 147
라파, 65, 156
나타, 60, 165
사나, 89, 182
하아, 63, 168
파차, 64, 181
자차, 62, 179
라바, 68, 171
차타, 78, 159
다하, 70, 190
카가, 88, 147
다라, 97, 178
바자, 93, 185
라바, 47, 185
아바, 62, 141
나하, 71, 184
나아, 99, 180
카타, 92, 158
라파, 90, 182
타아, 65, 144
나사, 44, 174
자카, 53, 178
사가, 69, 168
타바, 66, 186
카자, 64, 179
파라, 99, 157
나차, 73, 160
라타, 73, 171
가가, 77, 161
가하, 88, 193
가사, 41, 174
가타, 53, 198
차바, 50, 144
라다, 97, 180
아라, 86, 168
바하, 71, 187
라차, 90, 167
차다, 55, 191
라타, 72, 155
하하, 76, 182
라타, 94, 140
카다, 55, 167
다사, 86, 162
차하, 85, 158
카카, 68, 157
바파, 68, 166
파차, 82, 162
자마, 65, 156
파다, 94, 177
마가, 94, 193
바가, 45, 168
차다, 58, 165
아자, 52, 196
사타, 42, 158
자타, 88, 179
하마, 59, 155
마자, 78, 175
파타, 78, 155
카아, 72, 144
나파, 85, 154
바하, 80, 162
마파, 47, 190
하마, 87, 198
타파, 52, 184
차라, 60, 157
아차, 75, 140
다파, 85, 198
라사, 46, 184
가자, 57, 179
자바, 51, 146
가파, 98, 149
하아, 65, 178
라라, 47, 197
카차, 50, 155
나가, 43, 159
하사, 54, 147
라마, 66, 190
카바, 51, 171
다파, 53, 150
자바, 65, 177
차자, 42, 180
차차, 40, 146
파마, 71, 194
타라, 56, 193
파타, 53, 174
다아, 84, 144
